0101010F0BDAAAU	0101010F0BDABBE
0904010H0BRABAA	0913271A0BHAABA
0904010H0BRACAA	0913271B0BHABAU
0904010H0BRADAA	0913271B0BHAAAT
0904010H0BRAEAA	0913461H0BGAAAN
0904010H0BRAFAA	0913461H0BGACAQ
0904010H0BRAGAA	0913461H0BGABAP
0904010H0BRAHAA	0913461E0BGAAAK
0904010H0BSAAAA	0913461E0BDABAD
0904010H0BSABAA	0913461E0BDADAF
0904010H0BSACAA	0913271A0BCACAE
0904010H0BSADAA	0913271A0BCAAAC
0904010H0BSAEAA	0913461E0BDAAAC
0904010H0BSAFAA	0913271A0BCABAD
0904010H0BSAGAA	0913461E0BDACAE
0904010H0BSAHAA	0913461E0BDAEAG
0904010H0BTAAAA	0913271A0BEAAAP
0904010H0BTABAA	0913271B0BDAAAH
0904010H0BTACAA	0913271A0BEABAQ
0904010H0BUAAAA	0913461C0BHADAQ
0904010H0BVAHAA	0913461H0BCAAAC
0904010H0BVAIAA	0913461H0BCABAD
0904010H0BVAMAA	0913461H0BCACAE
0904010H0BXAEAA	0913461H0BFAAAM
0904010H0BYACAA	0913461G0BBAAAA
0904010H0BYAFAA	0913271B0BBABAB
0904010H0BYAGAA	0913271A0BBAAAA
0904010H0BYAHAA	0913461E0BBAAAA
0904010H0BYAIAA	0913271B0BBAAAA
0904010H0BYAMAA	0913271A0BBABAB
0904010H0BYANAA	0913461H0BBABAB
0904010H0BYAPAA	0913461H0BBAAAA
0904010H0CCAGAA	0913461E0BCAAAB
0904010H0CEALAA	0913271B0BGAAAS
0904010H0CFAAAA	0913461H0BHAAAR
0904010H0CFAEAA	0913461H0BHABAS
0904010H0CGABAA	0913461E0BFAAAJ
0904010H0CGACAA	0913461H0BEAEAL
0904010H0CGAEAA	0913461H0BEAAAH
0904010H0CGAGAA	0913461H0BEABAI
0904010H0CGAHAA	0913461H0BEACAJ
0904010H0CGAIAA	0913461H0BEADAK
0904010K0AAAAAA	0913193A0AAAAAA
0904010K0AAABAB	0913541B0AAABAB
0904010K0AAAFAF	0913541C0AAAAAA
0904010K0AAAIAI	0913541B0AAAAAA
0904010K0AAAJAJ	0913541B0AAACAC
0904010K0BBAAAF	0913541C0BBAAAA
0904010K0BDAAAI	0913541B0BBABAA
0904010K0BDABAI	0913541B0BBAAAA
0904010K0BEAAAF	0913541C0BCACAA
0904010K0BEABAF	0913541C0BCADAA
0904010K0BEACAF	0913541C0BCAAAA
0904010K0BEADAF	0913541C0BCABAA
0904010K0BFAAAF	0913541C0BDAAAA
0904010K0BFABAF	0913541C0BDABAA
0904010K0BGAAAK	0913541D0BBAAAA
0904010Q0BLAAAQ	0913461F0BDAEAC
0904010Q0BLABAQ	0913461F0BDAAAC
0904010Q0BLACAQ	0913461F0BDAFAC
0904010Q0BLADAQ	0913461F0BDABAC
0904010Q0BLAEAQ	0913461F0BDACAC
0904010Q0BLAFAQ	0913461F0BDAGAC
0904010Q0BLAGAQ	0913461F0BDADAC
0904010Q0BLAHAQ	0913461F0BDAHAC
0904010Q0BMAAAQ	0913461F0BBAAAA
0904010Q0BMABAQ	0913461F0BBABAA
0904010Q0BMACAQ	0913461F0BBACAA
0904010Q0BMADAQ	0913461F0BBADAA
0904010Q0BMAEAQ	0913461F0BBAEAA
0904010Q0BMAFAQ	0913461F0BBAFAA
0904010Q0BMAGAQ	0913461F0BBAGAA
0904010Q0BMAHAQ	0913461F0BBAHAA
0904010Q0BMAIAQ	0913461F0BBAIAA
